0, 2, 4, 6
0, 2, 4, 7
0, 2, 4, 8
0, 2, 4, 24
0, 2, 4, 28
0, 2, 4, 33
0, 2, 4, 35
0, 2, 4, 36
0, 2, 4, 37
0, 2, 4, 38
0, 2, 4, 44
0, 2, 4, 46
0, 2, 4, 49
0, 2, 4, 52
0, 2, 4, 54
0, 2, 4, 57
0, 2, 4, 58
0, 2, 4, 60
0, 2, 4, 62
0, 2, 4, 65
0, 2, 4, 67
0, 2, 4, 68
0, 2, 4, 69
0, 2, 4, 75
0, 2, 4, 84
0, 2, 4, 85
0, 2, 4, 86
0, 2, 4, 88
0, 2, 4, 90
0, 2, 4, 91
0, 2, 4, 93
0, 2, 4, 98
0, 2, 4, 99
0, 2, 4, 101
0, 2, 4, 103
0, 2, 4, 106
0, 2, 4, 110
0, 2, 4, 112
0, 2, 4, 114
0, 2, 4, 116
0, 2, 4, 117
0, 2, 4, 120
0, 2, 4, 121
0, 2, 4, 125
0, 2, 4, 129
0, 2, 4, 134
0, 2, 4, 137
0, 2, 4, 139
0, 2, 4, 141
0, 2, 4, 147
0, 2, 4, 148
0, 2, 4, 155
0, 2, 4, 156
0, 2, 4, 160
0, 2, 4, 163
0, 2, 4, 167
0, 2, 4, 170
0, 2, 4, 172
0, 2, 4, 173
0, 2, 4, 180
0, 2, 4, 181
0, 2, 4, 188
0, 2, 4, 191
0, 2, 4, 194
0, 2, 4, 195
0, 2, 4, 196
0, 2, 4, 200
0, 2, 4, 202
0, 2, 4, 204
0, 2, 4, 206
0, 2, 4, 211
0, 2, 4, 212
0, 2, 4, 213
0, 2, 4, 214
0, 2, 4, 215
0, 2, 4, 216
0, 2, 4, 217
0, 2, 4, 218
0, 2, 4, 219
0, 2, 4, 222
0, 2, 4, 226
0, 2, 4, 229
0, 2, 4, 230
0, 2, 4, 235
0, 2, 4, 236
0, 2, 4, 239
0, 2, 4, 240
0, 2, 4, 243
0, 2, 4, 246
0, 2, 4, 248
0, 2, 4, 257
0, 2, 4, 258
0, 2, 4, 262
0, 2, 4, 263
0, 2, 4, 265
0, 2, 4, 267
0, 2, 4, 268
0, 2, 4, 269
0, 2, 4, 270
0, 2, 4, 271
0, 2, 4, 276
0, 2, 4, 277
0, 2, 4, 279
0, 2, 4, 281
0, 2, 4, 282
0, 2, 4, 284
0, 2, 4, 286
0, 2, 4, 288
0, 2, 4, 289
0, 2, 4, 303
0, 2, 4, 308
0, 2, 4, 311
0, 2, 4, 312
0, 2, 4, 316
0, 2, 4, 321
0, 2, 4, 323
0, 2, 4, 334
0, 2, 4, 339
0, 2, 4, 342
0, 2, 4, 346
0, 2, 4, 350
0, 2, 4, 351
0, 2, 4, 355
0, 2, 4, 357
0, 2, 4, 359
0, 2, 4, 360
0, 2, 4, 362
0, 2, 4, 370
0, 2, 4, 373
0, 2, 4, 377
0, 2, 4, 380
0, 2, 4, 386
0, 2, 4, 408
0, 2, 4, 410
0, 2, 4, 411
0, 2, 4, 415
0, 2, 4, 418
0, 2, 4, 425
0, 2, 4, 427
0, 2, 4, 430
0, 2, 4, 432
0, 2, 4, 444
0, 2, 4, 445
0, 2, 4, 446
0, 2, 4, 450
0, 2, 4, 471
0, 2, 4, 472
0, 2, 4, 476
0, 2, 4, 477
0, 2, 4, 494
0, 2, 4, 495
0, 2, 4, 496
0, 2, 4, 499
0, 2, 4, 504
0, 2, 4, 509
0, 2, 4, 513
0, 2, 4, 515
0, 2, 4, 522
0, 2, 4, 523
0, 2, 4, 525
0, 2, 4, 527
0, 2, 4, 530
0, 2, 4, 573
0, 2, 4, 576
0, 2, 4, 584
0, 2, 4, 588
0, 2, 4, 589
0, 2, 4, 604
0, 2, 4, 611
0, 2, 6, 7
0, 2, 6, 8
0, 2, 6, 24
0, 2, 6, 28
0, 2, 6, 33
0, 2, 6, 35
0, 2, 6, 37
0, 2, 6, 38
0, 2, 6, 44
0, 2, 6, 46
0, 2, 6, 49
0, 2, 6, 52
0, 2, 6, 54
0, 2, 6, 56
0, 2, 6, 57
0, 2, 6, 58
0, 2, 6, 60
0, 2, 6, 62
0, 2, 6, 65
0, 2, 6, 66
0, 2, 6, 67
0, 2, 6, 68
0, 2, 6, 69
0, 2, 6, 75
0, 2, 6, 84
0, 2, 6, 85
0, 2, 6, 86
0, 2, 6, 88
0, 2, 6, 90
0, 2, 6, 91
0, 2, 6, 93
0, 2, 6, 98
0, 2, 6, 99
0, 2, 6, 101
0, 2, 6, 103
0, 2, 6, 106
0, 2, 6, 110
0, 2, 6, 112
0, 2, 6, 114
0, 2, 6, 116
0, 2, 6, 117
0, 2, 6, 120
0, 2, 6, 125
0, 2, 6, 129
0, 2, 6, 132
0, 2, 6, 134
0, 2, 6, 137
0, 2, 6, 139
0, 2, 6, 147
